jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
10,17,1418.64,2048.37,17.49,15.38,0,269.07
16,17,2084.7,2001.69,21.22,13.52,0,286.84
21,17,2407.66,1099.11,15.43,14.94,0,230.5
1,18,1891.56,1688.8,15.9,18.54,0,294.76
2,18,3061.36,1609.2,15.48,20.07,0,310.66
3,18,3449.15,618.87,18.74,14.19,0,265.85
4,18,2331.74,1827.77,26.53,21.41,0,567.96
5,18,3269.19,1234.51,13.52,16.49,0,222.88
10,18,1417.96,2049.08,17.75,15.36,0,272.75
16,18,2083.91,2002.18,21.25,13.73,0,291.84
1,19,1892.87,1690.52,16.15,18.65,0,301.33
2,19,3062.16,1611.0,14.74,19.03,0,280.52
3,19,3452.6,618.46,18.1,13.65,0,246.97
4,19,2334.47,1827.63,26.21,21.37,0,560.07
5,19,3270.35,1236.03,13.15,16.01,0,210.56
10,19,1417.83,2050.1,17.86,15.21,0,271.77
16,19,2083.56,2002.43,20.96,13.73,0,287.75
1,20,1894.01,1691.99,16.54,18.73,0,309.8
2,20,3062.45,1612.69,14.9,19.25,0,286.87
3,20,3456.77,617.93,18.77,13.95,0,261.85
4,20,2337.26,1827.41,26.6,21.98,0,584.76
5,20,3272.04,1238.72,13.38,16.27,0,217.66
10,20,1417.83,2051.38,17.95,15.09,0,270.88
16,20,2083.26,2002.8,20.35,13.53,0,275.2
1,21,1897.44,1693.7,16.96,18.98,0,321.85
2,21,3062.51,1614.95,14.9,19.24,0,286.69
3,21,3460.29,617.45,18.52,13.74,0,254.51
4,21,2340.44,1827.29,26.56,22.18,0,589.15
5,21,3274.38,1241.36,12.96,15.81,0,204.93
10,21,1418.29,2052.86,18.23,15.24,0,277.8
16,21,2083.46,2003.72,19.97,13.45,0,268.58
25,21,2417.65,1106.78,15.2,13.9,0,211.38
1,22,1899.42,1695.49,16.49,18.32,0,302.21
2,22,3062.74,1617.3,14.21,18.23,0,259.03
3,22,3464.51,617.02,18.71,13.88,0,259.75
4,22,2343.86,1827.4,26.13,22.08,0,576.99
5,22,3277.0,1243.43,12.96,15.86,0,205.47
10,22,1418.04,2053.91,18.38,15.22,0,279.78
16,22,2083.49,2005.18,19.67,13.41,0,263.67
25,22,2420.34,1108.16,15.27,14.0,0,213.76
1,23,1901.35,1696.9,16.45,18.21,0,299.55
2,23,3063.27,1619.29,14.54,18.6,0,270.4
3,23,3468.05,615.99,18.28,13.49,0,246.63
4,23,2346.72,1827.36,26.4,22.63,0,597.25
5,23,3280.13,1245.77,12.9,15.6,0,201.24
10,23,1417.84,2054.24,18.24,14.9,0,271.79
16,23,2083.47,2006.0,19.25,13.26,0,255.41
25,23,2423.56,1109.74,15.51,14.28,0,221.48
1,24,1903.34,1698.52,16.83,18.62,0,313.38
2,24,3063.96,1621.76,14.69,18.73,0,275.16
3,24,3472.49,615.24,18.42,13.56,0,249.85
4,24,2349.57,1826.84,26.16,22.76,0,595.37
5,24,3282.23,1247.88,12.68,15.34,0,194.49
10,24,1417.53,2054.31,18.78,15.18,0,285.18
16,24,2083.18,2006.78,19.24,13.43,0,258.26
25,24,2426.32,1111.25,16.02,14.86,0,238.1
1,25,1905.32,1699.94,16.84,18.57,0,312.59
2,25,3064.8,1624.28,14.88,18.94,0,281.92
3,25,3476.66,614.96,19.04,13.96,0,265.82
4,25,2352.45,1825.81,26.15,22.97,0,600.62
5,25,3284.65,1249.51,13.03,15.78,0,205.61
10,25,1417.77,2054.24,18.77,15.06,0,282.79
16,25,2083.31,2007.11,18.88,13.32,0,251.36
25,25,2429.54,1113.21,15.33,14.29,0,219.08
1,26,1907.56,1700.84,16.77,18.36,0,307.76
2,26,3065.23,1626.19,14.63,18.55,0,271.32
3,26,3480.99,614.39,18.97,13.71,0,260.03
4,26,2355.57,1824.24,26.38,23.51,0,620.27
5,26,3286.94,1251.12,12.92,15.62,0,201.81
10,26,1417.69,2054.39,18.58,14.73,0,273.78
16,26,2082.92,2007.17,18.59,13.21,0,245.48
25,26,2432.65,1115.36,15.36,14.42,0,221.38
1,27,1909.53,1701.78,17.21,18.86,0,324.57
2,27,3065.33,1627.7,14.51,18.29,0,265.46
3,27,3483.99,613.82,19.24,13.96,0,268.62
4,27,2358.22,1823.32,26.39,23.89,0,630.48
5,27,3289.09,1253.56,13.01,15.72,0,204.46
10,27,1417.75,2055.22,18.46,14.46,0,266.91
16,27,2082.0,2007.28,18.34,13.1,0,240.28
25,27,2435.11,1117.22,15.9,15.08,0,239.75
1,28,1911.4,1704.63,18.4,20.34,0,374.34
2,28,3065.54,1629.33,14.59,18.32,0,267.27
3,28,3487.03,613.25,19.33,14.05,0,271.56
4,28,2361.02,1822.66,25.8,23.63,0,609.43
5,28,3291.54,1255.87,13.22,16.01,0,211.72
10,28,1417.63,2056.64,19.08,14.95,0,285.1
16,28,2081.46,2007.82,18.26,13.14,0,239.97
25,28,2437.35,1118.78,15.52,14.81,0,229.82
1,29,1914.0,1706.31,17.85,19.65,0,350.7
2,29,3065.53,1630.76,15.79,20.04,0,316.47
3,29,3490.2,612.6,18.75,13.62,0,255.47
