frame_idx,time_s,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px,mask_perimeter_sam_px
4491,149.84985,2726.93,1201.11,25.47,21.77,554.43,573,90.28
4492,149.88322,2726.52,1201.12,25.76,21.77,560.74,578,91.11
4493,149.91658,2726.37,1201.26,25.69,21.49,552.05,585,92.53
4494,149.94995,2726.04,1201.28,25.65,21.45,550.26,576,92.53
4495,149.98332,2725.96,1201.35,25.53,21.32,544.11,582,92.53
4496,150.01668,2725.98,1201.3,25.49,21.41,545.66,580,92.53
4497,150.05005,2725.83,1201.41,25.59,21.19,542.34,590,94.77
4498,150.08342,2725.77,1201.47,25.59,21.06,538.8,590,92.53
4499,150.11678,2725.8,1201.46,25.79,21.08,543.82,595,92.53
4500,150.15015,2725.72,1201.53,25.92,20.96,543.42,580,93.36
4501,150.18352,2725.79,1201.55,26.26,20.92,549.33,591,92.53
4502,150.21688,2725.61,1201.73,26.14,20.59,538.17,586,92.53
4503,150.25025,2725.54,1201.85,26.07,20.35,530.6,576,92.53
4504,150.28362,2725.55,1201.93,26.41,20.28,535.65,576,91.94
4505,150.31698,2725.21,1202.15,26.01,20.01,520.4,574,91.36
4506,150.35035,2725.11,1202.32,25.62,19.89,509.59,555,89.36
4507,150.38372,2724.82,1202.66,25.45,20.05,510.28,563,90.77
4508,150.41708,2724.85,1203.07,25.18,20.36,512.58,564,89.36
4509,150.45045,2724.81,1203.41,25.29,20.52,518.98,578,90.77
4510,150.48382,2724.21,1203.76,25.32,20.38,515.98,586,90.77
4511,150.51718,2723.89,1203.88,25.79,20.51,528.92,593,91.84
4512,150.55055,2723.24,1204.23,26.42,20.51,541.86,587,90.67
4513,150.58392,2723.02,1204.41,26.32,20.26,533.39,575,90.08
4514,150.61728,2723.01,1204.69,26.28,20.21,531.09,570,90.08
4515,150.65065,2722.98,1204.79,26.33,20.21,532.14,564,88.67
4516,150.68402,2722.86,1204.99,26.24,20.11,527.63,560,89.5
4517,150.71738,2722.84,1205.06,26.18,20.21,528.97,563,89.5
4518,150.75075,2722.75,1204.97,26.06,20.26,527.9,561,88.67
4519,150.78412,2722.48,1204.97,25.69,20.27,520.64,545,87.5
4520,150.81748,2722.41,1204.93,25.64,20.22,518.33,546,87.5
4521,150.85085,2722.24,1204.79,25.53,20.23,516.52,556,88.33
4522,150.88422,2721.96,1204.79,25.65,20.51,526.02,555,88.33
4523,150.91758,2721.8,1204.64,25.4,20.19,512.74,558,88.33
4524,150.95095,2721.63,1204.55,25.3,20.41,516.33,558,89.15
4525,150.98432,2721.56,1204.47,25.29,20.78,525.55,558,86.91
4526,151.01768,2721.2,1204.46,25.28,20.66,522.46,560,88.33
4527,151.05105,2721.0,1204.46,25.2,20.88,526.21,569,88.91
4528,151.08442,2721.07,1204.29,25.62,20.96,536.96,568,88.91
4529,151.11778,2720.84,1204.28,25.78,20.89,538.55,572,88.91
4530,151.15115,2720.51,1204.41,25.9,20.92,541.72,563,88.08
4531,151.18452,2720.33,1204.63,26.06,21.2,552.48,571,88.67
4532,151.21788,2720.18,1204.83,26.41,21.14,558.33,559,88.08
4533,151.25125,2719.95,1205.06,26.69,21.05,561.78,559,87.5
4534,151.28462,2719.81,1205.27,26.61,20.84,554.5,547,88.91
4535,151.31798,2719.81,1205.53,26.8,20.57,551.41,537,87.5
4536,151.35135,2719.76,1205.61,26.98,20.65,557.25,545,87.5
4537,151.38472,2719.54,1205.91,26.67,20.64,550.38,534,87.5
4538,151.41808,2719.46,1205.97,27.07,20.61,557.95,541,86.67
4539,151.45145,2719.5,1206.18,27.08,20.55,556.48,557,88.91
4540,151.48482,2719.44,1206.32,27.23,20.47,557.38,557,89.5
4541,151.51818,2719.49,1206.45,27.53,20.6,567.06,559,88.91
4542,151.55155,2719.39,1206.63,27.5,20.69,568.94,569,91.15
4543,151.58492,2719.4,1207.04,27.49,20.87,573.59,567,90.91
4544,151.61828,2719.3,1207.33,27.21,20.61,560.8,570,91.74
4545,151.65165,2718.89,1207.28,26.51,20.66,547.49,562,89.74
4546,151.68502,2718.68,1207.52,26.15,20.8,543.93,548,88.08
4547,151.71839,2718.63,1207.57,26.04,20.94,545.41,557,89.5
4548,151.75175,2718.7,1207.74,25.95,20.98,544.43,558,89.5
4549,151.78512,2718.62,1208.01,25.83,20.96,541.3,548,88.08
4550,151.81849,2718.52,1208.28,25.63,20.92,536.0,547,88.08
4551,151.85185,2718.54,1208.48,25.65,21.2,543.73,542,88.08
4552,151.88522,2718.73,1208.75,25.86,21.14,546.67,545,88.08
4553,151.91859,2718.86,1208.89,25.85,20.96,541.8,545,89.5
