jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id,dx,dy,displacement_px,speed_px_per_s,dt_frames
764,226,2253.22,1311.83,23.55,25.19,1,593.31,Balisée #3,1.9899999999997817,-1.2200000000000273,2.334202219174508,11.67101109587254,1.0
764,227,2254.86,1310.67,23.53,25.44,1,598.59,Balisée #3,1.6400000000003274,-1.1599999999998545,2.0087807247185383,10.04390362359269,1.0
764,228,2257.38,1309.32,23.34,25.51,1,595.41,Balisée #3,2.519999999999982,-1.3500000000001364,2.8588284313683947,14.294142156841973,1.0
764,229,2259.13,1308.33,22.62,25.06,1,566.91,Balisée #3,1.75,-0.9900000000000091,2.010621794371089,10.053108971855444,1.0
764,230,2261.35,1307.66,22.14,24.9,1,551.34,Balisée #3,2.2199999999998,-0.6699999999998454,2.3189006015780205,11.594503007890102,1.0
764,231,2263.7,1306.88,21.88,24.85,1,543.75,Balisée #3,2.349999999999909,-0.7799999999999727,2.476065427245316,12.380327136226581,1.0
764,232,2265.57,1306.0,21.49,24.67,1,530.18,Balisée #3,1.8700000000003456,-0.8800000000001091,2.066712365086512,10.333561825432561,1.0
764,233,2267.68,1304.92,21.27,24.71,1,525.56,Balisée #3,2.1099999999996726,-1.0799999999999272,2.3703375287073487,11.851687643536744,1.0
764,234,2269.26,1304.08,21.05,24.81,1,522.28,Balisée #3,1.580000000000382,-0.8400000000001455,1.789413311675492,8.94706655837746,1.0
764,235,2271.17,1303.31,20.94,25.1,1,525.61,Balisée #3,1.9099999999998545,-0.7699999999999818,2.0593688353472324,10.296844176736162,1.0
764,236,2272.77,1302.44,20.71,24.95,1,516.78,Balisée #3,1.599999999999909,-0.8699999999998909,1.8212358441452658,9.106179220726329,1.0
764,237,2274.45,1301.85,20.47,24.99,1,511.38,Balisée #3,1.6799999999998363,-0.5900000000001455,1.7805897899290621,8.90294894964531,1.0
764,238,2276.3,1300.66,20.35,25.14,1,511.6,Balisée #3,1.8500000000003638,-1.1899999999998272,2.1996817951696865,10.998408975848433,1.0
764,239,2277.97,1299.49,20.41,25.4,1,518.42,Balisée #3,1.669999999999618,-1.1700000000000728,2.039068414742108,10.19534207371054,1.0
764,240,2279.67,1298.8,20.12,25.05,1,503.94,Balisée #3,1.7000000000002728,-0.6900000000000546,1.8346934348825155,9.173467174412577,1.0
764,241,2281.06,1297.91,19.77,24.56,1,485.49,Balisée #3,1.3899999999998727,-0.8899999999998727,1.6505150711215633,8.252575355607817,1.0
