jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels
4,37,985.08,628.18,10.5,9.78,0,102.6
5,37,775.69,543.75,14.86,11.49,0,170.69
10,37,703.7,494.58,10.13,6.91,0,69.96
1,38,667.97,674.99,13.8,12.45,0,171.79
2,38,494.02,159.45,13.51,9.32,0,125.9
3,38,1157.98,481.27,14.65,11.53,0,168.89
4,38,985.46,628.73,10.22,9.49,0,97.03
5,38,777.0,543.21,14.76,11.45,0,169.06
1,39,668.08,674.71,13.8,12.49,0,172.42
2,39,493.31,159.78,13.38,9.19,0,123.0
3,39,1158.44,481.17,14.65,11.51,0,168.72
4,39,985.74,629.64,10.46,9.68,0,101.18
5,39,777.97,543.03,14.35,11.16,0,160.13
1,40,668.22,674.37,13.8,12.53,0,172.97
2,40,492.48,160.39,13.15,9.06,0,119.09
3,40,1158.92,481.11,14.51,11.37,0,164.91
4,40,986.22,630.38,10.76,9.94,0,106.93
5,40,779.0,542.99,14.08,10.97,0,154.45
15,40,1274.05,49.54,9.61,9.5,0,91.36
10,40,703.01,495.37,10.73,7.37,0,79.08
1,41,668.3,674.09,14.12,12.86,0,181.55
2,41,492.17,160.79,13.53,9.31,0,126.01
3,41,1159.41,480.99,14.72,11.5,0,169.3
4,41,986.51,631.03,10.89,10.04,0,109.41
5,41,780.33,542.55,14.57,11.36,0,165.48
15,41,1273.25,51.03,10.66,10.53,0,112.2
1,42,668.61,673.59,14.37,13.1,0,188.27
2,42,491.74,161.46,14.54,10.08,0,146.51
3,42,1159.85,480.64,14.95,11.64,0,174.06
4,42,986.55,631.21,10.74,9.87,0,105.97
5,42,781.72,542.23,14.51,11.31,0,164.08
1,43,668.83,672.83,14.02,12.8,0,179.38
2,43,490.95,162.2,14.39,10.08,0,145.0
3,43,1160.54,480.26,15.04,11.67,0,175.59
4,43,986.92,631.71,10.53,9.64,0,101.49
5,43,782.95,541.64,14.09,11.02,0,155.31
15,43,1272.12,49.95,10.82,10.59,0,114.58
1,44,669.02,672.03,13.77,12.57,0,173.1
2,44,490.42,162.9,14.1,9.91,0,139.78
3,44,1161.28,480.06,15.05,11.69,0,176.02
4,44,987.4,631.99,10.31,9.42,0,97.15
5,44,784.1,541.02,13.88,10.85,0,150.59
15,44,1271.66,49.67,10.08,9.73,0,98.13
1,45,669.19,671.4,13.82,12.65,0,174.75
2,45,490.02,163.55,14.44,10.22,0,147.56
3,45,1161.72,479.81,14.93,11.58,0,172.97
4,45,987.74,632.52,10.5,9.57,0,100.5
5,45,785.43,540.5,13.84,10.81,0,149.61
1,46,669.38,670.82,13.88,12.73,0,176.68
2,46,489.58,164.41,14.7,10.48,0,154.18
3,46,1162.05,479.37,15.16,11.72,0,177.7
4,46,987.92,632.71,10.74,9.79,0,105.22
5,46,786.82,540.04,14.05,11.0,0,154.54
10,46,701.49,495.67,10.78,7.46,0,80.37
15,46,1269.01,49.53,10.87,10.36,0,112.64
1,47,670.01,670.27,14.1,12.93,0,182.22
2,47,489.23,165.34,15.33,11.01,0,168.77
3,47,1162.74,479.03,15.31,11.84,0,181.3
4,47,988.34,633.3,10.97,10.03,0,110.12
5,47,788.19,539.73,14.6,11.45,0,167.14
10,47,701.25,495.76,11.12,7.75,0,86.13
15,47,1267.6,49.6,10.4,9.79,0,101.81
1,48,670.25,669.75,14.16,12.92,0,182.96
2,48,488.7,166.07,15.4,11.1,0,170.92
3,48,1163.18,478.91,15.06,11.65,0,175.44
4,48,988.71,633.74,11.38,10.45,0,118.82
5,48,789.24,539.41,14.44,11.35,0,163.87
10,48,701.12,495.79,11.29,7.91,0,89.37
15,48,1267.01,49.67,11.36,10.6,0,120.35
1,49,670.45,669.39,13.89,12.62,0,175.3
2,49,487.95,166.92,15.12,10.92,0,165.09
