jelly_id,balisee_id,marked,nb_frames,frame_start,frame_end,speed_mean_px_s,speed_median_px_s,speed_max_px_s,speed_std_px_s
1047,,0,2,895,896,10.734174397689191,10.734174397689191,10.734174397689191,
1048,,0,202,896,1097,16.210030042973717,15.818106713510169,25.666563852607993,3.4612119461135125
1049,,0,2,901,902,6.825869907930775,6.825869907930775,6.825869907930775,
1052,,0,263,905,1186,17.172087914475387,15.032320994481019,195.49847186103594,12.604095214847936
1062,,0,1,920,920,,,,
1080,,0,7,946,952,6.396808195065091,5.290470456195878,11.328283188550586,2.85779878554431
1088,,0,197,965,1161,17.414268123098413,17.520331175490966,25.56213019292265,2.519032765557084
1089,Balisée #4,1,5,967,973,10.770281769928216,11.223859704191394,17.23267245670357,7.2399153398692775
1094,,0,44,973,1017,3.801766911410111,3.609016486523715,7.686676785191633,1.9636120695472368
1113,,0,26,1013,1038,5.381113769674382,5.434381289530716,9.116605728011143,1.9370065494804216
1116,,0,34,1017,1072,13.235573432590156,10.502618721061967,38.48405513975822,8.25154183517943
1119,,0,26,1020,1050,5.815082220516939,5.810550748422206,13.268477682085912,2.660008374169884
1124,,0,1,1034,1034,,,,
1126,,0,1,1037,1037,,,,
1135,,0,43,1054,1118,12.448248887286649,8.314143350724718,160.68784179271228,23.775638887513217
1136,,0,12,1057,1077,13.736499649574672,6.901630242195785,86.51388616863699,24.192921177793835
1143,,0,6,1076,1086,15.316871685233465,8.104319835741657,36.89146242696209,12.700907535393394
1162,,0,1,1090,1090,,,,
1165,Balisée #1,1,53,1092,1151,6.337131607766169,5.555873840886985,22.787551426163482,3.673546598727856
1169,,0,1,1096,1096,,,,
1170,,0,75,1096,1170,18.328081355332387,18.43318923012842,25.072096043211065,2.8441386581411088
1178,Balisée #5,1,21,1106,1132,20.195387998512295,16.151160521755433,74.04761981319889,13.760662988523954
1193,Balisée #4,1,84,1118,1204,12.760045082271205,12.82195382927242,57.94100447869353,6.312913795534512
1195,,0,73,1119,1204,5.744676247567301,4.613287336428058,53.83553659061944,6.7694487952171185
1199,,0,1,1123,1123,,,,
1203,,0,16,1126,1143,16.208082936091554,13.308737731279885,41.544464131818856,7.6547054298632515
1217,Balisée #1,1,349,1151,1502,7.581336002406565,7.441011806053828,21.50453440556232,3.337085890585693
1219,,0,342,1160,1502,11.382340544158243,11.671011095872913,23.877290466048375,4.911578425532363
1220,Balisée #2,1,288,1161,1448,10.120469795570047,10.783900036629344,24.710018211244055,5.232280503538843
1222,,0,86,1170,1255,18.93904742773039,18.700000000001182,24.852062288670403,2.4998595557343593
1224,,0,2,1171,1175,19.143667360251563,19.143667360251563,19.143667360251563,
1237,Balisée #5,1,44,1194,1253,25.60841729340605,20.254011948254647,100.46496901905557,16.174434515949812
1242,,0,1,1199,1199,,,,
1246,,0,195,1202,1455,20.889103747460602,16.226983576396158,152.0592812030887,16.954584162805933
1248,,0,289,1205,1502,14.64415316885465,14.000580025635493,57.01370449286867,6.749998207389567
1252,,0,206,1219,1427,7.052277932035805,6.51248800382633,29.733356689079095,4.329791392039841
1257,Balisée #4,1,59,1224,1292,6.812173975685131,4.589678621708366,73.8294825933382,10.021350954249806
