frame_idx,time_s,jelly_id,x_center,y_center,width,height,bbox_area_px
174,5.8058,2,2771.13,401.43,18.64,17.94,334.29
174,5.8058,4,2709.35,1399.52,20.7,15.2,314.73
174,5.8058,1,3105.51,531.72,31.42,24.69,775.89
174,5.8058,5,1091.0,2097.33,15.27,15.09,230.34
180,6.006,2,2770.34,403.3,18.6,17.86,332.3
180,6.006,4,2711.51,1399.58,20.66,15.11,312.14
180,6.006,1,3103.93,533.0,31.92,25.32,808.35
180,6.006,5,1093.59,2097.95,15.47,15.17,234.67
180,6.006,21,1626.01,867.27,24.49,17.12,419.24
186,6.2062,2,2769.22,405.17,18.95,18.22,345.34
186,6.2062,4,2713.92,1399.49,20.87,15.21,317.44
186,6.2062,1,3102.31,534.24,31.4,25.08,787.56
186,6.2062,5,1096.49,2098.02,15.35,14.98,229.92
186,6.2062,21,1629.13,867.41,24.65,17.52,431.92
192,6.4064,2,2768.1,406.49,20.11,19.54,392.95
192,6.4064,4,2715.95,1399.68,21.09,15.34,323.52
192,6.4064,1,3100.99,535.71,31.03,24.97,774.7
192,6.4064,5,1098.97,2098.48,16.13,15.72,253.51
192,6.4064,21,1631.79,867.54,24.45,17.5,427.97
198,6.6066,2,2767.1,409.81,19.58,19.16,375.12
198,6.6066,4,2717.97,1399.49,21.44,15.61,334.66
198,6.6066,1,3099.22,536.84,30.83,24.98,770.19
198,6.6066,5,1100.65,2098.98,15.94,15.5,246.95
198,6.6066,21,1634.41,867.38,24.62,17.85,439.44
204,6.8068,2,2766.57,411.32,18.86,18.42,347.3
204,6.8068,4,2720.09,1399.1,20.84,15.15,315.64
204,6.8068,1,3098.37,538.49,30.45,24.93,759.15
204,6.8068,5,1102.26,2100.21,16.01,15.2,243.38
204,6.8068,21,1637.32,867.06,25.15,18.47,464.68
210,7.007,2,2765.88,412.46,17.62,17.07,300.8
210,7.007,4,2722.86,1399.01,21.32,15.54,331.49
210,7.007,1,3097.68,539.67,30.6,25.27,773.21
210,7.007,5,1106.14,2101.46,17.0,16.05,272.78
210,7.007,21,1640.82,867.07,24.75,18.4,455.49
210,7.007,33,1743.15,2152.71,15.95,13.5,215.25
216,7.2072,2,2765.37,413.62,17.26,16.73,288.72
216,7.2072,4,2724.92,1399.11,21.2,15.43,327.1
216,7.2072,1,3096.59,541.0,30.53,25.39,775.17
216,7.2072,5,1108.24,2103.02,16.52,15.57,257.23
216,7.2072,21,1644.55,866.31,22.08,16.24,358.46
216,7.2072,33,1743.5,2151.51,17.19,14.62,251.24
222,7.4074,2,2764.49,414.89,16.98,16.41,278.68
222,7.4074,4,2727.28,1399.29,21.34,15.51,330.98
222,7.4074,1,3095.63,542.3,29.77,24.97,743.36
222,7.4074,5,1110.29,2104.13,16.42,15.57,255.81
222,7.4074,21,1646.84,866.07,21.06,15.37,323.64
222,7.4074,33,1744.27,2150.11,19.16,16.43,314.7
228,7.6076,2,2763.68,416.22,17.12,16.53,282.97
228,7.6076,4,2730.31,1398.88,21.46,15.66,336.06
228,7.6076,1,3094.84,543.28,30.12,25.42,765.74
228,7.6076,5,1112.59,2104.71,16.49,15.62,257.59
228,7.6076,21,1649.53,865.96,20.33,14.81,301.01
228,7.6076,33,1745.2,2148.52,18.92,16.36,309.67
234,7.8078,2,2763.29,417.79,16.49,15.8,260.65
234,7.8078,4,2732.9,1398.27,21.94,16.05,352.03
234,7.8078,1,3094.43,544.44,29.8,25.4,756.96
234,7.8078,5,1115.25,2105.08,17.02,16.18,275.32
234,7.8078,21,1652.34,865.31,20.48,14.79,302.94
234,7.8078,33,1746.53,2146.96,18.82,16.43,309.24
240,8.008,2,2763.34,419.09,16.52,15.78,260.55
240,8.008,4,2735.38,1398.07,22.08,16.09,355.3
240,8.008,1,3094.3,545.2,29.29,25.17,737.19
240,8.008,5,1118.57,2105.34,16.95,16.2,274.7
240,8.008,21,1656.51,864.94,20.13,14.39,289.69
240,8.008,33,1747.61,2145.48,17.46,15.29,267.09
246,8.2082,2,2764.13,420.08,16.72,15.91,265.97
246,8.2082,4,2738.96,1397.28,21.65,15.78,341.65
246,8.2082,1,3093.67,547.11,29.3,25.27,740.36
246,8.2082,5,1121.5,2106.07,17.01,16.31,277.47
246,8.2082,21,1660.51,864.52,20.19,14.38,290.42
246,8.2082,33,1748.32,2144.49,17.43,15.3,266.7
246,8.2082,3,2121.07,1685.51,10.42,13.75,143.3
252,8.4084,2,2764.92,421.05,16.08,15.14,243.36
252,8.4084,4,2742.68,1396.83,21.24,15.5,329.36
252,8.4084,1,3093.71,548.37,29.92,25.99,777.7
252,8.4084,5,1124.16,2107.37,16.25,15.68,254.82
252,8.4084,21,1664.04,864.21,20.83,14.76,307.59
252,8.4084,33,1748.98,2143.85,17.93,15.75,282.5
252,8.4084,3,2122.12,1683.95,11.27,15.2,171.33
258,8.6086,2,2765.13,421.85,16.1,15.01,241.67
258,8.6086,4,2745.67,1396.98,21.64,15.86,343.21
258,8.6086,1,3093.77,549.8,29.81,26.05,776.31
258,8.6086,5,1126.82,2109.38,16.02,15.52,248.68
