jelly_id,frame_idx,x_center,y_center,width,height,marked,nb_pixels,balisee_id
765,317,3447.24,2148.24,15.78,13.7,0,216.2,
771,317,591.9,1740.92,18.99,14.68,1,278.79,Balisée #2
795,317,94.35,1259.97,20.36,18.68,0,380.28,
764,318,2307.24,1225.05,26.06,21.28,1,554.43,Balisée #3
770,318,2372.6,1592.83,14.71,16.93,0,249.11,
767,318,253.99,1156.94,14.77,19.63,1,289.92,Balisée #1
765,318,3449.97,2149.0,15.68,13.35,0,209.35,
771,318,593.5,1741.97,19.58,15.0,1,293.69,Balisée #2
795,318,96.74,1259.45,20.46,18.59,0,380.24,
764,319,2306.78,1224.98,26.11,21.52,1,561.93,Balisée #3
770,319,2375.22,1591.3,13.96,16.09,0,224.58,
767,319,255.01,1159.05,14.25,18.81,1,268.15,Balisée #1
765,319,3452.87,2149.62,15.72,13.14,0,206.64,
771,319,595.9,1742.96,20.13,15.39,1,309.74,Balisée #2
795,319,98.53,1258.94,20.33,18.32,0,372.59,
787,319,1249.45,1668.08,19.6,20.18,1,395.47,Balisée #4
764,320,2305.87,1225.07,25.82,21.41,1,552.77,Balisée #3
770,320,2377.03,1589.88,13.24,15.15,0,200.69,
767,320,255.15,1161.47,14.41,18.92,1,272.57,Balisée #1
765,320,3454.83,2150.86,16.48,13.42,0,221.26,
771,320,598.11,1744.36,19.59,14.87,1,291.36,Balisée #2
795,320,100.42,1257.75,20.61,18.49,0,381.04,
787,320,1249.91,1666.53,18.25,18.37,1,335.27,Balisée #4
764,321,2305.41,1223.36,25.58,21.41,1,547.69,Balisée #3
770,321,2378.77,1588.09,13.06,15.02,0,196.26,
767,321,255.37,1163.32,14.62,19.26,1,281.49,Balisée #1
765,321,3458.04,2151.95,17.07,13.72,0,234.23,
771,321,600.7,1745.29,19.99,15.02,1,300.29,Balisée #2
795,321,102.3,1256.51,21.07,18.83,0,396.68,
787,321,1250.04,1665.67,17.64,17.37,1,306.45,Balisée #4
764,322,2305.17,1224.31,25.78,21.73,1,560.14,Balisée #3
770,322,2380.72,1585.76,13.29,15.36,0,204.14,
767,322,255.9,1164.49,14.87,19.57,1,291.0,Balisée #1
765,322,3460.59,2152.63,17.72,14.17,0,251.01,
771,322,603.01,1746.39,20.4,15.27,1,311.47,Balisée #2
795,322,104.17,1255.29,20.66,18.33,0,378.87,
787,322,1250.12,1662.81,16.99,16.29,1,276.63,Balisée #4
